fb_id,medium,published,reactions,comments,share,like,love,excellent,funny,sad,angry,yes,no
12987653,video,4/22/2018 6:00,529,512,262,432,92,3,1,1,0,1,0
12987654,photo,4/21/2018 22:45,150,0,0,150,0,0,0,0,0,1,0
12987655,photo,3/21/2017 0:24,33,9,1,33,0,0,0,0,0,0,1
12987656,photo,3/21/2017 0:23,72,1,0,72,0,0,0,0,0,0,1
12987657,photo,3/21/2017 0:13,174,0,0,173,1,0,0,0,0,0,1
12987658,photo,3/20/2017 23:19,192,0,0,186,3,3,0,0,0,0,1
12987659,video,3/20/2017 22:50,286,61,5,250,30,5,1,0,0,0,1
12987660,photo,3/20/2017 21:46,231,0,0,230,0,1,0,0,0,1,0
12987661,photo,3/20/2017 21:46,138,1,0,135,2,1,0,0,0,1,0
12987662,photo,3/20/2017 4:56,104,6,1,102,2,0,0,0,0,1,0
12987663,photo,3/20/2017 4:43,91,10,4,90,0,1,0,0,0,1,0
12987664,photo,3/19/2017 21:39,682,22,0,657,12,13,0,0,0,1,0
12987665,video,3/18/2017 9:09,1379,769,69,1131,234,4,4,2,4,1,0
12987666,photo,3/18/2017 5:10,629,16,1,610,16,2,1,0,0,0,1
12987667,video,06/01/2014,591,41,2,591,0,0,0,0,0,0,1
12987668,video,5/31/2014 5:50,519,17,7,519,0,0,0,0,0,0,1
12987669,video,5/31/2014 0:24,437,4,0,437,0,0,0,0,0,1,0
12987670,video,5/30/2014 7:42,287,5,1,287,0,0,0,0,0,1,0
12987671,video,5/30/2014 7:30,482,38,0,482,0,0,0,0,0,1,0
12987672,video,5/28/2014 7:01,543,17,11,543,0,0,0,0,0,1,0
12987673,video,5/27/2014 23:41,463,14,0,463,0,0,0,0,0,1,0
12987674,photo,5/25/2014 22:03,272,3,0,272,0,0,0,0,0,1,0
12987675,video,5/25/2014 7:12,432,5,0,432,0,0,0,0,0,0,1
12987676,video,5/24/2014 6:47,1013,24,0,1013,0,0,0,0,0,0,1
12987677,video,5/24/2014 6:46,653,19,3,653,0,0,0,0,0,0,1
12987678,video,5/24/2014 6:28,148,6,0,148,0,0,0,0,0,0,1
12987679,video,5/23/2014 3:37,433,7,0,433,0,0,0,0,0,0,1
12987680,video,5/22/2014 9:35,404,6,7,404,0,0,0,0,0,0,1
12987681,video,5/22/2014 7:51,616,7,0,616,0,0,0,0,0,1,0
12987682,video,5/22/2014 6:07,452,5,0,452,0,0,0,0,0,1,0
12987683,video,5/20/2014 23:20,457,6,0,457,0,0,0,0,0,1,0
12987684,video,5/20/2014 23:19,600,13,0,600,0,0,0,0,0,1,0
12987685,video,5/19/2014 10:38,345,7,1,345,0,0,0,0,0,1,0
12987686,video,05/08/2014,156,7,0,156,0,0,0,0,0,1,0
12987687,video,05/08/2014,227,11,7,227,0,0,0,0,0,1,0
12987688,video,05/08/2014,748,40,4,748,0,0,0,0,0,0,1
12987689,video,05/06/2014,406,3,2,406,0,0,0,0,0,0,1
12987690,video,05/06/2014,548,36,5,548,0,0,0,0,0,0,1
12987691,photo,05/05/2014,156,0,0,156,0,0,0,0,0,0,1
12987692,video,05/04/2014,641,14,2,641,0,0,0,0,0,0,1
12987693,photo,05/01/2014,14,1,0,14,0,0,0,0,0,0,1
12987694,video,05/01/2014,489,13,1,489,0,0,0,0,0,1,0
12987695,video,4/30/2014 0:58,644,30,0,644,0,0,0,0,0,1,0
12987696,video,3/15/2017 5:51,58,4,3,58,0,0,0,0,0,0,1
12987697,photo,3/14/2017 9:10,272,9,0,268,2,2,0,0,0,0,1
12987698,photo,3/14/2017 0:42,213,2,2,207,6,0,0,0,0,0,1
12987699,photo,3/13/2017 0:46,225,2,0,220,5,0,0,0,0,0,1
12987700,photo,03/12/2017,463,48,2,450,8,4,1,0,0,0,1
12987701,photo,03/12/2017,285,7,0,276,8,1,0,0,0,1,0
12987702,photo,03/12/2017,526,18,0,512,12,2,0,0,0,1,0
12987703,photo,03/11/2017,418,4,0,406,9,3,0,0,0,1,0
12987704,photo,03/11/2017,515,10,0,505,9,0,1,0,0,1,0
12987705,photo,03/11/2017,377,5,0,365,10,2,0,0,0,1,0
12987706,photo,03/11/2017,1186,37,1,1161,19,6,0,0,0,1,0
12987707,video,03/09/2017,591,560,49,498,84,3,4,1,1,1,0
12987708,photo,03/05/2017,424,8,1,411,13,0,0,0,0,0,1
12987709,photo,03/04/2017,119,16,0,105,0,0,0,8,6,0,1
12987710,photo,03/04/2017,67,9,0,66,1,0,0,0,0,0,1
12987711,photo,03/04/2017,439,10,3,424,15,0,0,0,0,0,1
12987712,status,03/04/2017,1043,117,24,984,58,1,0,0,0,0,1
12987713,photo,03/04/2017,690,10,0,667,21,2,0,0,0,0,1
12987714,status,03/02/2017,84,7,1,84,0,0,0,0,0,1,0
12987715,photo,03/01/2017,491,16,0,478,11,2,0,0,0,1,0
12987716,photo,2/28/2017 2:45,63,1,0,61,0,2,0,0,0,1,0
12987717,link,2/27/2017 10:53,46,3,1,46,0,0,0,0,0,1,0
12987718,photo,2/24/2017 9:12,320,17,0,309,9,1,1,0,0,1,0
12987719,video,2/22/2017 2:51,51,8,6,51,0,0,0,0,0,1,0
12987720,photo,2/20/2017 1:13,85,9,2,83,2,0,0,0,0,0,1
12987721,photo,2/20/2017 1:02,99,13,0,98,1,0,0,0,0,0,1
12987722,photo,2/17/2017 22:28,213,13,1,212,1,0,0,0,0,0,1
12987723,photo,2/16/2017 5:37,156,12,0,154,2,0,0,0,0,0,1
12987724,video,2/15/2017 9:11,204,128,4,184,17,0,2,1,0,0,1
12987725,photo,2/15/2017 3:08,246,8,0,241,3,2,0,0,0,0,1
12987726,photo,2/14/2017 7:41,225,2,0,219,6,0,0,0,0,1,0
12987727,video,2/14/2017 4:01,256,427,30,191,62,1,2,0,0,1,0
12987728,photo,2/14/2017 0:17,146,1,0,142,2,2,0,0,0,1,0
12987729,photo,2/13/2017 1:54,212,0,1,206,5,0,1,0,0,1,0
12987730,photo,02/12/2017,229,3,0,225,4,0,0,0,0,1,0
12987731,photo,02/11/2017,66,2,0,64,1,1,0,0,0,1,0
12987732,photo,02/11/2017,158,0,0,157,1,0,0,0,0,1,0
12987733,photo,02/10/2017,301,7,0,288,6,6,0,1,0,0,1
12987734,video,02/10/2017,88,1,0,87,1,0,0,0,0,0,1
12987735,video,02/10/2017,148,54,2,126,18,4,0,0,0,0,1
12987736,photo,02/09/2017,398,11,0,390,4,4,0,0,0,0,1
12987737,photo,02/09/2017,89,4,0,86,3,0,0,0,0,0,1
12987738,photo,02/09/2017,151,0,0,146,3,2,0,0,0,0,1
12987739,photo,02/08/2017,155,5,0,152,2,0,1,0,0,1,0
12987740,video,02/08/2017,109,13,0,104,5,0,0,0,0,1,0
12987741,video,02/07/2017,117,16,0,104,11,2,0,0,0,1,0
12987742,video,02/07/2017,112,7,0,101,11,0,0,0,0,1,0
12987743,photo,02/07/2017,132,3,0,123,5,4,0,0,0,1,0
12987744,photo,02/07/2017,149,3,0,142,5,2,0,0,0,1,0
12987745,photo,02/07/2017,274,9,0,260,11,2,1,0,0,0,1
12987746,video,02/07/2017,195,95,5,162,30,0,3,0,0,0,1
12987747,video,02/07/2017,138,25,2,125,11,2,0,0,0,0,1
12987748,video,02/06/2017,627,266,8,519,105,2,0,1,0,0,1
12987749,photo,02/02/2017,289,23,0,279,7,3,0,0,0,0,1
12987750,photo,02/01/2017,209,10,0,204,4,1,0,0,0,0,1
12987751,video,4/21/2018 6:17,227,236,57,204,21,1,1,0,0,1,0
12987752,photo,4/21/2018 2:29,111,0,0,111,0,0,0,0,0,1,0
12987753,photo,4/18/2018 3:22,213,0,0,204,9,0,0,0,0,1,0
12987754,photo,4/18/2018 2:14,217,6,0,211,5,1,0,0,0,1,0
12987755,video,4/18/2018 0:24,503,614,72,418,70,10,2,0,3,1,0
12987756,video,4/17/2018 7:42,295,453,53,260,32,1,1,0,1,0,1
12987757,photo,4/17/2018 3:33,203,1,0,198,5,0,0,0,0,0,1
12987758,photo,04/11/2018,170,9,1,167,3,0,0,0,0,0,1
12987759,photo,04/10/2018,210,2,3,202,7,1,0,0,0,0,1
12987760,photo,04/09/2018,222,4,0,213,5,4,0,0,0,0,1
12987761,photo,04/08/2018,313,4,2,305,6,2,0,0,0,0,1
12987762,photo,04/08/2018,209,4,0,200,8,1,0,0,0,1,0
12987763,photo,04/05/2018,346,11,0,335,10,1,0,0,0,1,0
12987764,video,04/01/2018,332,100,30,303,23,1,5,0,0,1,0
