"","age","marital","race","education","job_class","health_ins","height","daily_wage","ageNum"
"1","18","Never Married","1","< HS Grad","Industrial","No",73,75.04315402,18
"2","24","Never Married","1","College Grad","Information","No",70,70.47601965,24
"3","45","Married","1","Some College","Industrial","Yes",69,130.9821774,45
"4","43","Married","3","College Grad","Information","Yes",67,154.685293,43
"5","50","Divorced","1","HS Grad","Information","Yes",71,75.04315402,50
"6","54","Married","1","College Grad","Information","Yes",72,127.1157438,54
"7","44","Married","4","Some College","Industrial","Yes",64,169.528538,44
"8","30","Never Married","3","Some College","Information","Yes",71,111.7208494,30
"9","41","Never Married","2","Some College","Information","Yes",68,118.8843593,41
"10","52","Married","1","HS Grad","Information","Yes",70,128.6804882,52
"11","45","Divorced","1","Some College","Information","Yes",70,117.1468169,45
"12","34","Married","1","HS Grad","Industrial","No",67,81.28325328,34
"13","35","Never Married","1","HS Grad","Information","Yes",73,89.49247952,35
"14","39","Married","1","College Grad","Industrial","Yes",72,134.7053751,39
"15","54","Married","1","HS Grad","Information","Yes",75,134.7053751,54
"16","51","Married","1","Some College","Industrial","Yes",72,90.48191336,51
"17","37","Never Married","3","College Grad","Industrial","No",68,82.6796373,37
"18","50","Married","1","Advanced Degree","Information","No",68,212.8423523,50
"19","56","Married","1","College Grad","Industrial","Yes",70,129.156693,56
"20","37","Never Married","1","Some College","Industrial","Yes",68,98.59934386,37
"21","38","Married","3","College Grad","Information","No",71,200.5432623,38
"22","40","Divorced","1","HS Grad","Information","No",67,50.40666086,40
"23","75","Married","1","College Grad","Industrial","Yes",72,85.38394038,75
"24","40","Married","1","College Grad","Information","No",67,160.6424754,40
"25","38","Never Married","1","HS Grad","Industrial","No",70,94.07271475,38
"26","49","Married","1","Advanced Degree","Information","Yes",68,277.6014175,49
"27","43","Married","1","HS Grad","Industrial","Yes",70,84.04595765,43
"28","34","Married","4","HS Grad","Industrial","Yes",71,65.11085372,34
"29","57","Married","1","HS Grad","Industrial","No",63,116.2653241,57
"30","18","Never Married","2","HS Grad","Industrial","Yes",68,70.47601965,18
"31","55","Married","1","Advanced Degree","Information","Yes",69,195.676308,55
