age,sex,marital,race,education,region,job_class,health_ins,height,daily_wage
18,Male,Never Married,1,< HS Grad,Middle Atlantic,Industrial,No,73,75.04315402
24,Male,Never Married,1,College Grad,Middle Atlantic,Information,No,70,70.47601965
45,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,69,130.9821774
43,Male,Married,3,College Grad,Middle Atlantic,Information,Yes,67,154.685293
50,Male,Divorced,1,HS Grad,Middle Atlantic,Information,Yes,71,75.04315402
54,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,72,127.1157438
44,Male,Married,4,Some College,Middle Atlantic,Industrial,Yes,64,169.528538
30,Male,Never Married,3,Some College,Middle Atlantic,Information,Yes,71,111.7208494
41,Male,Never Married,2,Some College,Middle Atlantic,Information,Yes,68,118.8843593
52,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,70,128.6804882
45,Male,Divorced,1,Some College,Middle Atlantic,Information,Yes,70,117.1468169
34,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,67,81.28325328
35,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,73,89.49247952
39,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,72,134.7053751
54,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,75,134.7053751
51,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,72,90.48191336
37,Male,Never Married,3,College Grad,Middle Atlantic,Industrial,No,68,82.6796373
50,Male,Married,1,Advanced Degree,Middle Atlantic,Information,No,68,212.8423523
56,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,70,129.156693
37,Male,Never Married,1,Some College,Middle Atlantic,Industrial,Yes,68,98.59934386
38,Male,Married,3,College Grad,Middle Atlantic,Information,No,71,200.5432623
40,Male,Divorced,1,HS Grad,Middle Atlantic,Information,No,67,50.40666086
75,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,72,85.38394038
40,Male,Married,1,College Grad,Middle Atlantic,Information,No,67,160.6424754
38,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,70,94.07271475
49,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,68,277.6014175
43,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,70,84.04595765
34,Male,Married,4,HS Grad,Middle Atlantic,Industrial,Yes,71,65.11085372
57,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,63,116.2653241
18,Male,Never Married,2,HS Grad,Middle Atlantic,Industrial,Yes,68,70.47601965
55,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,69,195.676308
51,Male,Married,1,Some College,Middle Atlantic,Information,Yes,69,101.4020523
33,Male,Never Married,1,Advanced Degree,Middle Atlantic,Industrial,No,67,81.28325328
34,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,66,111.7208494
36,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,65,89.88004678
56,Male,Never Married,1,Advanced Degree,Middle Atlantic,Information,Yes,71,87.98103279
70,Male,Never Married,1,College Grad,Middle Atlantic,Industrial,Yes,69,87.98103279
25,Male,Never Married,1,College Grad,Middle Atlantic,Industrial,Yes,72,103.9024706
32,Male,Married,1,Some College,Middle Atlantic,Industrial,No,69,105.9278108
27,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,No,70,66.22940829
28,Male,Married,3,College Grad,Middle Atlantic,Industrial,No,74,34.60741773
27,Male,Never Married,1,College Grad,Middle Atlantic,Information,Yes,68,109.8339856
43,Male,Never Married,1,< HS Grad,Middle Atlantic,Industrial,No,70,45.28216999
5O,Male,Never Married,4,< HS Grad,Middle Atlantic,Industrial,Yes,70,73.77574327
39,Male,Married,2,HS Grad,Middle Atlantic,Information,No,71,81.28325328
52,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,70,154.685293
35,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,66,267.9010869
