"Id","Name","Year","Gender","State","Count"
13523,"Emma",2014,"F","AK",50
13524,"Olivia",2014,"F","AK",47
13525,"Sophia",2014,"F","AK",43
13526,"Aurora",2014,"F","AK",35
13527,"Isabella",2014,"F","AK",33
13528,"Abigail",2014,"F","AK",32
13529,"Avery",2014,"F","AK",32
13530,"Evelyn",2014,"F","AK",31
13531,"Hannah",2014,"F","AK",31
13532,"Amelia",2014,"F","AK",29
13533,"Grace",2014,"F","AK",29
13534,"Harper",2014,"F","AK",29
13535,"Charlotte",2014,"F","AK",28
13536,"Ella",2014,"F","AK",28
13537,"Ava",2014,"F","AK",24
13538,"Emily",2014,"F","AK",24
13539,"Aria",2014,"F","AK",23
13540,"Penelope",2014,"F","AK",23
13541,"Annabelle",2014,"F","AK",22
13542,"Lily",2014,"F","AK",22
13543,"Zoey",2014,"F","AK",22
13544,"Chloe",2014,"F","AK",21
13545,"Aubrey",2014,"F","AK",20
13546,"Elizabeth",2014,"F","AK",20
13547,"Hailey",2014,"F","AK",20
13548,"Kaylee",2014,"F","AK",20
13549,"Lillian",2014,"F","AK",20
13550,"Natalie",2014,"F","AK",20
13551,"Peyton",2014,"F","AK",20
13552,"Piper",2014,"F","AK",20
13553,"Eleanor",2014,"F","AK",19
13554,"Hazel",2014,"F","AK",19
13555,"Sadie",2014,"F","AK",19
13556,"Violet",2014,"F","AK",19
13557,"Anna",2014,"F","AK",18
13558,"Brooklyn",2014,"F","AK",18
13559,"Kinley",2014,"F","AK",18
13560,"Madison",2014,"F","AK",18
13561,"Paisley",2014,"F","AK",18
13562,"Addison",2014,"F","AK",17
13563,"Claire",2014,"F","AK",17
13564,"Layla",2014,"F","AK",17
13565,"Audrey",2014,"F","AK",16
13566,"Ellie",2014,"F","AK",16
13567,"Faith",2014,"F","AK",16
13568,"Scarlett",2014,"F","AK",16
13569,"Bella",2014,"F","AK",15
13570,"Elena",2014,"F","AK",15
13571,"Riley",2014,"F","AK",15
13572,"Samantha",2014,"F","AK",15
13573,"Athena",2014,"F","AK",14
13574,"Mackenzie",2014,"F","AK",14
13575,"Nevaeh",2014,"F","AK",14
13576,"Gabriella",2014,"F","AK",13
13577,"Naomi",2014,"F","AK",13
13578,"Ruby",2014,"F","AK",13
13579,"Savannah",2014,"F","AK",13
13580,"Zoe",2014,"F","AK",13
13581,"Aaliyah",2014,"F","AK",12
13582,"Alyssa",2014,"F","AK",12
13583,"Ariana",2014,"F","AK",12
13584,"Autumn",2014,"F","AK",12
13585,"Isabel",2014,"F","AK",12
13586,"Isabelle",2014,"F","AK",12
13587,"Leah",2014,"F","AK",12
13588,"Lucy",2014,"F","AK",12
13589,"Mia",2014,"F","AK",12
13590,"Nora",2014,"F","AK",12
13591,"Rose",2014,"F","AK",12
13592,"Serenity",2014,"F","AK",12
13593,"Victoria",2014,"F","AK",12
13594,"Alice",2014,"F","AK",11
13595,"Arianna",2014,"F","AK",11
13596,"Aubree",2014,"F","AK",11
13597,"Brooke",2014,"F","AK",11
13598,"Kennedy",2014,"F","AK",11
13599,"River",2014,"F","AK",11
13600,"Sarah",2014,"F","AK",11
13601,"Sofia",2014,"F","AK",11
13602,"Stella",2014,"F","AK",11
13603,"Taylor",2014,"F","AK",11
13604,"Trinity",2014,"F","AK",11
13605,"Alexis",2014,"F","AK",10
13606,"Allison",2014,"F","AK",10
13607,"Cora",2014,"F","AK",10
13608,"Ember",2014,"F","AK",10
13609,"Gwendolyn",2014,"F","AK",10
13610,"Maria",2014,"F","AK",10
13611,"Willow",2014,"F","AK",10
13612,"Amara",2014,"F","AK",9
13613,"Andrea",2014,"F","AK",9
13614,"Clara",2014,"F","AK",9
13615,"Eliana",2014,"F","AK",9
13616,"Elsa",2014,"F","AK",9
13617,"Everly",2014,"F","AK",9
13618,"Julia",2014,"F","AK",9
13619,"Kira",2014,"F","AK",9
13620,"Kyra",2014,"F","AK",9
13621,"Madeline",2014,"F","AK",9
13622,"Makayla",2014,"F","AK",9
13623,"Payton",2014,"F","AK",9
13624,"Skylar",2014,"F","AK",9
13625,"Sophie",2014,"F","AK",9
13626,"Tessa",2014,"F","AK",9
13627,"Vivian",2014,"F","AK",9
13628,"Ashley",2014,"F","AK",8
13629,"Caroline",2014,"F","AK",8
13630,"Daisy",2014,"F","AK",8
13631,"Elise",2014,"F","AK",8
13632,"Elliana",2014,"F","AK",8
13633,"Harmony",2014,"F","AK",8
13634,"Henley",2014,"F","AK",8
13635,"Iris",2014,"F","AK",8
13636,"Ivy",2014,"F","AK",8
13637,"Jade",2014,"F","AK",8
13638,"Jasmine",2014,"F","AK",8
13639,"Juliana",2014,"F","AK",8
13640,"Juliet",2014,"F","AK",8
13641,"Laura",2014,"F","AK",8
13642,"Lydia",2014,"F","AK",8
13643,"Mckinley",2014,"F","AK",8
13644,"Rory",2014,"F","AK",8
13645,"Winter",2014,"F","AK",8
13646,"Aliyah",2014,"F","AK",7
13647,"Danielle",2014,"F","AK",7
13648,"Eden",2014,"F","AK",7
13649,"Evangeline",2014,"F","AK",7
13650,"Hayden",2014,"F","AK",7
13651,"Hope",2014,"F","AK",7
13652,"Isla",2014,"F","AK",7
13653,"Juniper",2014,"F","AK",7
13654,"Kenzie",2014,"F","AK",7
13655,"Kyla",2014,"F","AK",7
13656,"Kylie",2014,"F","AK",7
13657,"Luna",2014,"F","AK",7
13658,"Margaret",2014,"F","AK",7
13659,"Marley",2014,"F","AK",7
13660,"Mckenna",2014,"F","AK",7
13661,"Nova",2014,"F","AK",7
13662,"Paige",2014,"F","AK",7
13663,"Quinn",2014,"F","AK",7
13664,"Ruth",2014,"F","AK",7
13665,"Rylee",2014,"F","AK",7
13666,"Ryleigh",2014,"F","AK",7
13667,"Summer",2014,"F","AK",7
13668,"Vivienne",2014,"F","AK",7
13669,"Adalyn",2014,"F","AK",6
13670,"Adelaide",2014,"F","AK",6
13671,"Alayna",2014,"F","AK",6
13672,"Alivia",2014,"F","AK",6
13673,"Ana",2014,"F","AK",6
