n,client_seated,take_order_drink,take_order_food,deliver_drink,deliver_food,process_payment,client-go,total_minutes
1,6.745,5.423,5.265,7.756,39.265,2.36,8.235,75.049
2,4.6598,4.596,8.897,1.8365,34.265,3.0213,9.3265,48.3786
3,3.653,7.98,0.326,2.4523,9.326,2.36,1.326,25.7713
4,4.02136,9.028,7.65,4.9963,12.83,4.362,9.3652,35.23766
5,6.5598,3.8963,6.025896,6.4695,29.01,2.03,9.3963,47.9656
6,8.1326,2.987,5.265,1.236,8.23659,4.365,8.654,24.95719
7,2.369,1.193,4.4987,9.0025,22.316,3.556,4.4152,38.4365
8,7.12374,2.256,7.0036,3.964,21.658,0.238,9.6854,35.23974
9,5.659,4.336,6.9872,7.986,32.936,4.213,0.923,55.13
10,1.8,7.9863,6.326,0.854,0.635,2.11,1.832,13.3853
11,3.2,5.113,4.3956,8.4236,28.632,1.8546,5.798,47.2232
12,5.998,7.698,8.6549,4.82,25.369,3.123,6.879,47.008
13,3.8146,0.698,6.12,9.432,13.6985,4.986,0.369,32.6291
14,5.987,7.369,5.932,3.68,1.1326,4.2365,9.2365,22.4051
15,4.653,9.98,8.0596,8.46,36.236,3.965,9.4698,63.294
16,1.9876,1.936,0.2659,4.355,34.986,3.923,4.9856,47.1876
17,5.698,0.056,3.659,8.965,34.236,0.5436,0.46,49.4986
18,8.236,6.2546,5.36987,7.1452,3.216,2.536,4.27,27.3878
19,9.326,4.265,2.59872,9.86554,24.3698,2.85,6.87,50.67634
20,2.136,2.7896,2.03168,6.3321,30.689,1.9,9.025,43.8467
21,7.326,7.36,3.7631,7.465,7.326,1.23,5.123,30.707
22,9.326,7.98,5.23695,9.2063,27.0362,3.02,6.598,56.5685
23,7.659,4.895,7.05983,6.1553,30.236,0.59,4.965,49.5353
24,5.369,8.4623,0.7323,6.5963,4.4236,20.3,7.986,45.1512
25,5.0321,3.278,3.01258,0.598,32.4983,4.16,3.8236,45.5664
26,7.369,8.796,7.563,6.478,11.2396,2.8,2.635,36.6826
27,9.236,3.265,8.5032,5.4,2.93,4.69,5.563,25.521
28,3.698,1.2363,7.20365,6.268,31.3659,3.338,4.326,45.9062
29,1.95,0.296,7.2235,9.12,36.2163,2.69,5.8496,50.2723
30,3.026,5.3216,2.165,6.65987,17.9563,0.569874,6.623,26.873774
31,6.398,2.193,3.02659,5.11,23.6598,2.3698,2.635,34.6206
32,5.369,3.306,0.69873132,3.659,24.546,2.10326,3.526,35.32426
33,0.336,2.723,7.093,6.326,3.18,2.792535,5.023,15.357535
34,8.365,5.113,2.659,8.54,30.6593,4.2365,7.0256,56.9138
35,1.132,7.836,8.339,3.265,17.546,2.8132,2.86,32.5922
36,8.365,8.623,4.64,3.856,30.369,4.923,6.32,56.136
37,2.036,7.369,5.504,3.265,25.404,0.9831,3.021,39.0571
38,7.321,9.268,1.44,2.184,37.362,4.369,3.28,60.504
39,5.032,1.465,6.45,5.369,8.36958,3.653,4.47,23.88858
40,2.987,3.06,8.895631,6.32659,12.365,0.8963,7.116,25.63489
41,4.635,9.548,4.89765,8.012,10.23,3.0123,5.442,35.4373
42,5.326,6.37,4.0124,9.213,24.39,4.998,6.326,50.297
43,2.654,2.987,6.0203,4.023,25.659,0.0452,9.33,35.3682
44,3.987,3.526,8.569,7.185,0.13,1.1369,2.74,15.9649
45,0.365,8.369,6.956,7.326,39.47,1.023,5.025,56.553
46,8.326,7.78,7.629,0.6549,25.136,0.125,2.178,42.0219
47,8.369,4.61,4.321,6.213,4.26,0.965,7.236,24.417
48,8.148,9.44,7.326,6.25,26.3021,1.963,4.698,52.1031
49,8.032,2.576,6.3265,2.93,36.54,4.426,6.653,54.504
50,8.369,3.92,4.88,3.056,10.2649,2.4956,6.369,28.1055
