"age","marital","race","education","job_class","health","insurance","wage"
18,"never_married","white","no_hs_grad","industrial","good","no",75.04315402
24,"never_married","white","college_grad","information","very_good","no",70.47601965
45,"married","white","some_college","industrial","good","yes",130.9821774
43,"married","asian","college_grad","information","very_good","yes",154.685293
50,"divorced","white","hs_grad","information","good","yes",75.04315402
54,"married","white","college_grad","information","very_good","yes",127.1157438
44,"married","other","some_college","industrial","very_good","yes",169.528538
30,"never_married","asian","some_college","information","good","yes",111.7208494
41,"never_married","black","some_college","information","very_good","yes",118.8843593
52,"married","white","hs_grad","information","very_good","yes",128.6804882
45,"divorced","white","some_college","information","good","yes",117.1468169
34,"married","white","hs_grad","industrial","very_good","no",81.28325328
35,"never_married","white","hs_grad","information","very_good","yes",89.49247952
39,"married","white","college_grad","industrial","very_good","yes",134.7053751
54,"married","white","hs_grad","information","very_good","yes",134.7053751
51,"married","white","some_college","industrial","very_good","yes",90.48191336
37,"never_married","asian","college_grad","industrial","very_good","no",82.6796373
50,"married","white","advanced_degree","information","very_good","no",212.8423523
56,"married","white","college_grad","industrial","good","yes",129.156693
37,"never_married","white","some_college","industrial","very_good","yes",98.59934386
38,"married","asian","college_grad","information","very_good","no",200.5432623
40,"divorced","white","hs_grad","information","very_good","no",50.40666086
75,"married","white","college_grad","industrial","very_good","yes",85.38394038
40,"married","white","college_grad","information","very_good","no",160.6424754
38,"never_married","white","hs_grad","industrial","good","no",94.07271475
49,"married","white","advanced_degree","information","very_good","yes",277.6014175
43,"married","white","hs_grad","industrial","good","yes",84.04595765
34,"married","other","hs_grad","industrial","good","yes",65.11085372
57,"married","white","hs_grad","industrial","very_good","no",116.2653241
18,"never_married","black","hs_grad","industrial","very_good","yes",70.47601965
55,"married","white","advanced_degree","information","very_good","yes",195.676308
51,"married","white","some_college","information","very_good","yes",101.4020523
33,"never_married","white","advanced_degree","industrial","very_good","no",81.28325328
34,"never_married","white","hs_grad","industrial","very_good","no",111.7208494
36,"married","white","college_grad","information","very_good","yes",89.88004678
56,"never_married","white","advanced_degree","information","good","yes",87.98103279
70,"never_married","white","college_grad","industrial","good","yes",87.98103279
25,"never_married","white","college_grad","industrial","very_good","yes",103.9024706
32,"married","white","some_college","industrial","very_good","no",105.9278108
27,"married","white","no_hs_grad","industrial","very_good","no",66.22940829
28,"married","asian","college_grad","industrial","very_good","no",34.60741773
27,"never_married","white","college_grad","information","very_good","yes",109.8339856
43,"never_married","white","no_hs_grad","industrial","good","no",45.28216999
50,"never_married","other","no_hs_grad","industrial","good","yes",73.77574327
39,"married","black","hs_grad","information","very_good","no",81.28325328
52,"married","white","advanced_degree","industrial","very_good","yes",154.685293
35,"married","white","college_grad","industrial","very_good","yes",267.9010869
57,"married","white","advanced_degree","information","very_good","yes",176.9896505
25,"never_married","white","no_hs_grad","industrial","very_good","no",66.22940829
33,"never_married","white","hs_grad","information","good","yes",116.2653241
57,"married","white","advanced_degree","information","very_good","no",200.5432623
71,"married","white","some_college","industrial","very_good","yes",101.8243521
43,"married","white","college_grad","industrial","very_good","yes",272.2947832
23,"never_married","white","some_college","industrial","very_good","no",35.03342132
30,"never_married","white","advanced_degree","information","very_good","yes",114.4757133
22,"never_married","black","hs_grad","information","very_good","yes",81.28325328
59,"married","white","advanced_degree","information","good","yes",200.5432623
28,"never_married","asian","college_grad","information","very_good","yes",148.4131591
61,"married","white","hs_grad","industrial","very_good","yes",99.6894637
34,"married","white","hs_grad","information","very_good","yes",111.7208494
43,"married","white","college_grad","industrial","very_good","yes",152.838801
54,"married","white","some_college","industrial","very_good","no",117.1468169
69,"married","white","hs_grad","industrial","good","yes",77.7376033
41,"married","white","some_college","industrial","good","yes",87.98103279
48,"married","white","advanced_degree","information","very_good","yes",125.5254984
49,"married","white","some_college","information","very_good","yes",123.336104
42,"married","white","hs_grad","industrial","very_good","yes",158.2946214
37,"married","white","college_grad","information","very_good","yes",200.5432623
55,"married","asian","hs_grad","industrial","very_good","yes",99.6894637
21,"never_married","black","hs_grad","industrial","very_good","no",70.47601965
58,"married","white","hs_grad","information","very_good","yes",94.07271475
31,"never_married","white","hs_grad","industrial","very_good","no",81.28325328
25,"never_married","white","hs_grad","industrial","very_good","yes",81.28325328
32,"never_married","white","some_college","information","very_good","yes",100.7642728
40,"never_married","black","no_hs_grad","information","very_good","yes",94.07271475
44,"married","white","advanced_degree","information","very_good","no",99.6894637
60,"married","white","college_grad","industrial","very_good","yes",268.266292
23,"never_married","white","no_hs_grad","industrial","good","yes",81.28325328
63,"married","white","hs_grad","information","very_good","no",113.5670896
44,"never_married","white","no_hs_grad","industrial","good","no",87.98103279
47,"married","asian","advanced_degree","information","good","yes",128.6804882
61,"married","white","some_college","industrial","very_good","yes",106.7239776
55,"married","white","advanced_degree","information","very_good","no",66.04469423
24,"never_married","white","no_hs_grad","industrial","good","no",51.52195631
42,"widowed","white","hs_grad","industrial","very_good","yes",85.38394038
25,"married","white","hs_grad","information","very_good","yes",76.89360252
34,"divorced","white","hs_grad","industrial","very_good","no",90.48191336
53,"married","white","no_hs_grad","information","very_good","no",68.07642829
53,"married","white","college_grad","information","very_good","yes",130.9821774
70,"married","asian","advanced_degree","information","good","no",127.901233
47,"married","white","college_grad","information","very_good","yes",131.2245938
46,"married","white","hs_grad","industrial","very_good","yes",99.6894637
33,"divorced","white","no_hs_grad","industrial","good","yes",76.89360252
34,"married","white","advanced_degree","information","very_good","yes",107.9039239
22,"never_married","white","hs_grad","industrial","good","no",81.28325328
74,"married","white","hs_grad","industrial","very_good","yes",99.6894637
40,"married","black","some_college","information","good","yes",98.59934386
45,"married","white","college_grad","information","very_good","yes",200.5432623
43,"married","asian","college_grad","information","very_good","yes",156.5035109
33,"married","asian","college_grad","information","very_good","yes",144.944365
62,"married","black","college_grad","information","very_good","yes",118.8843593
37,"married","white","college_grad","information","very_good","yes",121.4303138
54,"married","white","hs_grad","information","good","yes",111.7208494
34,"married","white","some_college","industrial","very_good","no",68.74808773
50,"never_married","white","college_grad","information","very_good","yes",114.4757133
46,"divorced","white","some_college","industrial","good","yes",95.23071257
41,"married","white","no_hs_grad","industrial","very_good","no",87.98103279
63,"divorced","black","some_college","industrial","good","yes",64.27439722
38,"married","white","some_college","industrial","good","yes",128.6804882
35,"married","white","some_college","industrial","very_good","yes",114.4757133
29,"married","white","college_grad","information","good","yes",112.6488963
66,"married","white","no_hs_grad","industrial","very_good","yes",81.28325328
37,"married","white","hs_grad","information","good","yes",75.89548482
39,"married","black","hs_grad","information","very_good","yes",112.136923
42,"married","white","hs_grad","industrial","very_good","no",85.38394038
51,"divorced","white","hs_grad","industrial","very_good","yes",94.07271475
55,"married","asian","advanced_degree","industrial","good","yes",114.4757133
51,"married","white","advanced_degree","industrial","very_good","yes",176.9896505
38,"married","white","advanced_degree","industrial","good","yes",276.7784133
49,"married","white","hs_grad","information","very_good","yes",101.8243521
42,"married","white","hs_grad","information","very_good","no",91.69922611
43,"separated","white","no_hs_grad","information","good","no",86.69515483
38,"married","white","college_grad","information","very_good","yes",162.9464607
59,"married","asian","hs_grad","industrial","very_good","yes",139.2137881
57,"married","white","some_college","industrial","good","yes",95.23071257
25,"never_married","white","hs_grad","industrial","good","no",66.96164432
49,"married","white","college_grad","industrial","good","yes",131.1943236
41,"married","white","no_hs_grad","industrial","very_good","yes",90.48191336
38,"married","white","hs_grad","industrial","very_good","yes",114.4757133
61,"married","white","advanced_degree","industrial","very_good","yes",79.1280845
49,"divorced","white","hs_grad","industrial","good","yes",104.5917379
52,"divorced","white","advanced_degree","information","very_good","yes",132.4878211
43,"married","white","advanced_degree","information","very_good","yes",141.7751723
60,"married","white","college_grad","information","very_good","yes",123.0896998
46,"married","asian","advanced_degree","information","very_good","yes",134.7053751
21,"never_married","white","hs_grad","information","very_good","no",55.76739051
61,"married","white","college_grad","industrial","very_good","yes",106.9218141
32,"married","black","advanced_degree","information","very_good","yes",118.8843593
58,"married","white","hs_grad","information","good","yes",87.98103279
35,"never_married","white","hs_grad","information","very_good","yes",88.92960664
26,"never_married","black","hs_grad","information","very_good","yes",81.28325328
32,"never_married","black","hs_grad","industrial","very_good","no",94.07271475
37,"married","white","hs_grad","information","very_good","yes",106.9218141
22,"never_married","asian","hs_grad","industrial","good","no",59.09706408
51,"never_married","white","hs_grad","industrial","good","no",65.11085372
44,"divorced","white","advanced_degree","information","good","yes",120.5894365
35,"married","asian","advanced_degree","industrial","very_good","yes",157.7005277
60,"married","white","hs_grad","information","very_good","yes",129.4536446
40,"married","white","college_grad","information","very_good","yes",176.9896505
35,"never_married","white","no_hs_grad","information","very_good","no",59.09706408
35,"married","white","advanced_degree","information","very_good","no",94.07271475
47,"married","white","hs_grad","industrial","very_good","yes",134.7053751
43,"never_married","white","college_grad","information","very_good","yes",81.28325328
33,"married","white","no_hs_grad","industrial","good","yes",81.28325328
60,"divorced","white","advanced_degree","industrial","very_good","yes",153.4575153
38,"married","asian","advanced_degree","industrial","very_good","yes",136.8763676
53,"married","white","hs_grad","information","very_good","no",75.04315402
55,"married","white","some_college","information","very_good","yes",130.2208324
57,"married","black","hs_grad","information","good","no",104.9215065
64,"married","white","college_grad","information","good","no",49.55533812
43,"married","white","hs_grad","industrial","good","yes",123.9085676
35,"married","black","some_college","information","very_good","yes",123.0896998
54,"married","white","hs_grad","information","very_good","no",78.15516141
45,"married","white","hs_grad","information","good","yes",73.77574327
58,"divorced","asian","college_grad","information","very_good","yes",138.2991269
48,"married","white","college_grad","information","good","no",127.1157438
46,"married","asian","no_hs_grad","industrial","very_good","yes",68.74808773
46,"married","white","hs_grad","industrial","very_good","yes",84.39111475
55,"married","white","no_hs_grad","industrial","very_good","yes",85.38394038
51,"married","white","some_college","industrial","very_good","yes",128.6804882
49,"married","white","some_college","industrial","very_good","yes",70.47601965
34,"never_married","white","some_college","industrial","very_good","yes",76.89360252
53,"married","white","some_college","industrial","very_good","no",148.4131591
40,"married","white","some_college","industrial","very_good","yes",148.4131591
50,"married","white","some_college","industrial","very_good","yes",175.9608831
37,"divorced","white","no_hs_grad","information","good","yes",98.59934386
39,"married","white","some_college","industrial","very_good","yes",145.1436012
52,"married","white","college_grad","industrial","good","yes",99.6894637
50,"married","white","hs_grad","information","very_good","yes",141.0888744
48,"married","white","college_grad","industrial","very_good","yes",123.0896998
47,"married","white","hs_grad","industrial","very_good","yes",129.4536446
27,"married","white","college_grad","industrial","very_good","yes",111.7208494
39,"married","white","hs_grad","industrial","very_good","yes",103.9024706
44,"married","black","hs_grad","information","good","yes",118.8843593
37,"married","black","some_college","industrial","very_good","yes",151.5914842
52,"married","white","hs_grad","industrial","good","no",101.8243521
26,"never_married","asian","some_college","industrial","very_good","yes",99.6894637
39,"married","asian","advanced_degree","industrial","good","yes",99.6894637
25,"married","black","hs_grad","industrial","good","no",99.6894637
31,"never_married","white","college_grad","information","very_good","no",94.07271475
58,"married","white","some_college","industrial","good","yes",152.2168068
30,"married","white","college_grad","information","very_good","yes",104.9215065
27,"married","white","no_hs_grad","industrial","good","yes",65.11085372
40,"divorced","white","hs_grad","industrial","very_good","yes",95.23071257
55,"married","white","advanced_degree","industrial","very_good","yes",173.8794933
35,"married","asian","advanced_degree","information","very_good","yes",193.4110705
48,"married","white","hs_grad","industrial","good","no",114.4757133
29,"never_married","asian","college_grad","industrial","good","yes",160.6424754
25,"never_married","white","some_college","industrial","very_good","yes",89.49247952
40,"married","white","some_college","industrial","very_good","yes",120.5894365
27,"married","white","no_hs_grad","information","good","no",73.77574327
44,"married","white","hs_grad","information","very_good","yes",127.1157438
49,"married","white","some_college","information","very_good","yes",118.8843593
22,"never_married","white","some_college","industrial","good","no",34.60741773
45,"married","white","some_college","industrial","good","yes",114.4757133
33,"married","white","some_college","industrial","very_good","no",85.38394038
63,"married","black","advanced_degree","information","very_good","yes",318.3424301
49,"never_married","black","college_grad","industrial","very_good","yes",141.7751723
39,"never_married","white","advanced_degree","information","very_good","yes",130.9821774
25,"never_married","other","no_hs_grad","industrial","good","no",73.77574327
29,"never_married","white","advanced_degree","information","very_good","yes",130.9821774
37,"married","white","hs_grad","industrial","very_good","yes",75.04315402
35,"married","white","advanced_degree","information","good","yes",154.9902603
46,"married","white","hs_grad","industrial","good","yes",104.9215065
58,"married","white","college_grad","industrial","very_good","yes",73.11830692
39,"married","white","advanced_degree","industrial","very_good","yes",123.0896998
41,"married","white","college_grad","information","very_good","yes",157.7005277
29,"married","black","college_grad","information","very_good","yes",81.28325328
37,"married","white","college_grad","information","good","yes",107.2560621
62,"married","white","hs_grad","information","good","no",78.98167452
27,"never_married","black","hs_grad","industrial","very_good","yes",73.77574327
37,"married","white","hs_grad","industrial","good","yes",94.07271475
56,"separated","asian","college_grad","information","good","no",99.6894637
36,"married","white","some_college","information","very_good","yes",176.9896505
23,"never_married","other","hs_grad","information","very_good","no",73.77574327
46,"married","white","some_college","information","very_good","yes",99.6894637
26,"never_married","white","some_college","industrial","very_good","no",94.07271475
43,"married","white","no_hs_grad","information","very_good","yes",95.23071257
36,"married","white","hs_grad","information","very_good","yes",127.1157438
54,"separated","white","some_college","information","good","yes",99.6894637
62,"married","white","hs_grad","industrial","very_good","yes",95.68881191
40,"married","white","hs_grad","industrial","very_good","yes",109.8339856
53,"married","white","some_college","industrial","very_good","yes",118.8843593
48,"married","white","advanced_degree","information","very_good","yes",176.9896505
23,"married","white","college_grad","industrial","very_good","no",61.18752643
34,"married","white","hs_grad","industrial","very_good","yes",81.28325328
43,"married","white","college_grad","information","very_good","no",256.4006496
55,"married","white","hs_grad","information","good","yes",81.28325328
59,"never_married","white","hs_grad","information","very_good","yes",81.28325328
60,"married","white","hs_grad","information","very_good","no",55.76739051
49,"never_married","white","hs_grad","industrial","very_good","yes",75.35567932
45,"married","asian","some_college","industrial","very_good","yes",130.9821774
31,"divorced","white","hs_grad","industrial","very_good","no",43.73511168
34,"never_married","white","college_grad","information","good","yes",114.4757133
26,"never_married","white","advanced_degree","information","very_good","yes",114.4757133
22,"never_married","white","hs_grad","industrial","very_good","no",81.28325328
40,"married","white","hs_grad","information","good","no",68.5721657
41,"married","white","some_college","information","very_good","yes",109.8339856
36,"never_married","black","some_college","industrial","very_good","yes",97.49329405
38,"married","white","no_hs_grad","industrial","very_good","no",62.39835472
48,"married","white","hs_grad","industrial","very_good","no",97.49329405
47,"married","white","some_college","information","very_good","yes",134.7053751
47,"separated","white","no_hs_grad","industrial","good","no",61.18752643
35,"married","white","college_grad","information","good","no",118.8843593
49,"married","asian","hs_grad","information","very_good","yes",65.11085372
40,"married","white","some_college","information","very_good","yes",109.8339856
32,"widowed","asian","college_grad","industrial","very_good","no",104.9215065
57,"married","white","college_grad","industrial","very_good","yes",73.77574327
56,"married","white","college_grad","industrial","very_good","yes",141.7751723
73,"married","white","no_hs_grad","industrial","good","no",90.48191336
29,"never_married","white","hs_grad","industrial","good","yes",73.77574327
49,"married","asian","advanced_degree","industrial","very_good","yes",134.7053751
30,"never_married","white","hs_grad","industrial","very_good","yes",109.8339856
29,"married","white","hs_grad","industrial","very_good","yes",91.69922611
36,"married","white","some_college","information","very_good","no",95.23071257
