DATE,IPG3113N
1/1/1972,74.6609
1/2/1972,62.5732
1/3/1972,57.5207
1/4/1972,56.2487
1/5/1972,56.6349
1/6/1972,58.9291
1/7/1972,60.1422
1/8/1972,61.7011
1/9/1972,65.3639
1/10/1972,93.1278
1/11/1972,91.964
1/12/1972,92.286
1/1/1973,79.5123
1/2/1973,67.2958
1/3/1973,60.6284
1/4/1973,61.2303
1/5/1973,62.4397
1/6/1973,65.2157
1/7/1973,62.7665
1/8/1973,63.7531
1/9/1973,70.2158
1/10/1973,89.6683
1/11/1973,95.1801
1/12/1973,91.6599
1/1/1974,77.2581
1/2/1974,72.8181
1/3/1974,67.2565
1/4/1974,58.6224
1/5/1974,64.9767
1/6/1974,69.3029
1/7/1974,57.5229
1/8/1974,61.998
1/9/1974,61.1269
1/10/1974,86.4444
1/11/1974,88.1146
1/12/1974,75.7378
1/1/1975,58.4245
1/2/1975,45.9545
1/3/1975,44.1861
1/4/1975,52.106
1/5/1975,53.0281
1/6/1975,55.2244
1/7/1975,54.289
1/8/1975,58.2646
1/9/1975,57.7279
1/10/1975,83.8152
1/11/1975,91.8486
1/12/1975,88.8053
1/1/1976,76.4022
1/2/1976,65.2851
1/3/1976,53.8449
1/4/1976,56.0059
1/5/1976,61.3141
1/6/1976,59.3249
1/7/1976,60.3475
1/8/1976,62.4103
1/9/1976,67.1213
1/10/1976,94.2575
1/11/1976,97.6122
1/12/1976,99.6803
1/1/1977,85.1712
1/2/1977,78.7199
1/3/1977,67.5418
1/4/1977,66.3866
1/5/1977,67.9572
1/6/1977,68.2029
1/7/1977,66.0072
1/8/1977,67.9617
1/9/1977,73.2148
1/10/1977,94.8679
1/11/1977,92.217
1/12/1977,98.195
1/1/1978,78.2859
1/2/1978,69.9352
1/3/1978,66.4948
1/4/1978,67.3738
1/5/1978,66.7962
1/6/1978,68.1145
1/7/1978,63.1676
1/8/1978,66.1851
1/9/1978,72.1472
1/10/1978,91.6009
1/11/1978,97.391
1/12/1978,99.4657
1/1/1979,85.9896
1/2/1979,73.8902
1/3/1979,70.6448
1/4/1979,67.2278
1/5/1979,68.2763
1/6/1979,70.6338
1/7/1979,65.1384
1/8/1979,67.1533
1/9/1979,70.3706
1/10/1979,88.0369
1/11/1979,92.9353
1/12/1979,91.9677
1/1/1980,75.6824
1/2/1980,73.5094
1/3/1980,64.8418
1/4/1980,57.0752
1/5/1980,64.7426
1/6/1980,67.0398
1/7/1980,61.8646
1/8/1980,67.2981
1/9/1980,67.9108
1/10/1980,87.8511
1/11/1980,92.9796
1/12/1980,93.2682
1/1/1981,83.9336
1/2/1981,78.8139
1/3/1981,67.9978
1/4/1981,67.9229
1/5/1981,72.5459
1/6/1981,72.2698
1/7/1981,69.0044
1/8/1981,71.1946
1/9/1981,72.5563
1/10/1981,103.2687
1/11/1981,101.9701
1/12/1981,98.7744
1/1/1982,83.7305
1/2/1982,81.1154
1/3/1982,72.4466
1/4/1982,64.1289
1/5/1982,66.6117
1/6/1982,68.4212
1/7/1982,66.4487
1/8/1982,67.6926
1/9/1982,70.7581
1/10/1982,99.3304
1/11/1982,100.0338
1/12/1982,100.2548
1/1/1983,82.8588
1/2/1983,75.9126
1/3/1983,67.8906
1/4/1983,64.2086
1/5/1983,65.8145
1/6/1983,65.1248
1/7/1983,66.4927
1/8/1983,69.3059
1/9/1983,72.218
1/10/1983,96.2265
1/11/1983,92.7994
1/12/1983,90.6144
1/1/1984,81.7687
1/2/1984,75.2139
1/3/1984,68.746
1/4/1984,65.9256
1/5/1984,67.848
1/6/1984,67.6559
1/7/1984,66.9887
1/8/1984,70.7522
1/9/1984,74.8028
1/10/1984,97.6961
1/11/1984,100.6085
1/12/1984,98.2613
1/1/1985,85.0833
1/2/1985,75.8812
1/3/1985,68.9358
1/4/1985,66.3796
1/5/1985,67.359
1/6/1985,66.0571
1/7/1985,65.4976
1/8/1985,69.6068
1/9/1985,77.9745
1/10/1985,97.7778
1/11/1985,99.008
1/12/1985,101.981
1/1/1986,84.8128
1/2/1986,81.5441
1/3/1986,68.6397
1/4/1986,64.1371
1/5/1986,66.6383
1/6/1986,66.8637
1/7/1986,63.9324
1/8/1986,69.2923
1/9/1986,77.055
1/10/1986,100.9802
1/11/1986,104.0434
1/12/1986,100.5847
1/1/1987,84.6804
1/2/1987,82.1568
1/3/1987,72.8675
1/4/1987,67.39
1/5/1987,67.9875
1/6/1987,68.9715
1/7/1987,66.3154
1/8/1987,72.7512
1/9/1987,79.0544
1/10/1987,105.9232
1/11/1987,108.733
1/12/1987,106.8173
1/1/1988,83.4312
1/2/1988,82.9939
1/3/1988,78.2708
1/4/1988,70.395
1/5/1988,71.8219
1/6/1988,75.5847
1/7/1988,79.0631
1/8/1988,85.4341
1/9/1988,89.3218
1/10/1988,109.5566
1/11/1988,107.6114
1/12/1988,106.7031
1/1/1989,89.7108
1/2/1989,89.1847
1/3/1989,81.4027
1/4/1989,77.3174
1/5/1989,76.5979
1/6/1989,78.8966
1/7/1989,78.1624
1/8/1989,84.1047
1/9/1989,87.9736
1/10/1989,104.5186
1/11/1989,107.3588
1/12/1989,109.6912
1/1/1990,87.0455
1/2/1990,88.114
1/3/1990,82.5794
1/4/1990,76.9947
1/5/1990,77.2285
1/6/1990,80.8015
1/7/1990,84.5014
1/8/1990,89.1597
1/9/1990,94.6757
1/10/1990,108.4539
1/11/1990,116.0575
1/12/1990,117.1087
1/1/1991,93.5925
1/2/1991,96.9783
1/3/1991,91.2063
1/4/1991,83.5586
1/5/1991,82.5704
1/6/1991,89.3425
1/7/1991,87.1736
1/8/1991,95.6139
1/9/1991,96.8585
1/10/1991,108.2228
1/11/1991,112.8338
1/12/1991,109.0885
1/1/1992,91.0768
1/2/1992,89.7382
1/3/1992,82.8433
1/4/1992,80.2884
1/5/1992,78.2107
1/6/1992,80.8736
1/7/1992,80.2405
1/8/1992,83.7114
1/9/1992,90.6001
1/10/1992,103.4987
1/11/1992,106.2795
1/12/1992,105.6933
1/1/1993,91.4402
1/2/1993,89.04
1/3/1993,82.5602
1/4/1993,78.0422
1/5/1993,77.0421
1/6/1993,82.6051
1/7/1993,83.3924
1/8/1993,90.1092
1/9/1993,94.644
1/10/1993,108.7526
1/11/1993,108.7244
1/12/1993,106.9482
1/1/1994,91.7524
1/2/1994,87.7553
1/3/1994,85.7803
1/4/1994,77.8038
1/5/1994,75.7888
1/6/1994,81.6966
1/7/1994,84.015
1/8/1994,89.7018
1/9/1994,95.6028
1/10/1994,107.1981
1/11/1994,107.2991
1/12/1994,108.8635
1/1/1995,93.813
1/2/1995,86.421
1/3/1995,83.7814
1/4/1995,82.1008
1/5/1995,81.5173
1/6/1995,85.6057
1/7/1995,85.5563
1/8/1995,89.0864
1/9/1995,93.3887
1/10/1995,104.9012
1/11/1995,107.9145
1/12/1995,112.3126
1/1/1996,90.7757
1/2/1996,91.962
1/3/1996,89.6658
1/4/1996,82.5944
1/5/1996,84.5454
1/6/1996,87.458
1/7/1996,85.5976
1/8/1996,94.1371
1/9/1996,99.9498
1/10/1996,109.9215
1/11/1996,116.5438
1/12/1996,118.5477
1/1/1997,96.3302
1/2/1997,95.4778
1/3/1997,92.7792
1/4/1997,85.4795
1/5/1997,84.8053
1/6/1997,88.4703
1/7/1997,85.6397
1/8/1997,95.8062
1/9/1997,100.2353
1/10/1997,112.8543
1/11/1997,117.7892
1/12/1997,118.5506
1/1/1998,104.3874
1/2/1998,102.128
1/3/1998,96.5675
1/4/1998,92.5032
